country,state,city,county
USA,New York,New York,Queens
USA,California,Los Angeles,Los Angeles
USA,Illinois,Chicago,Cook
USA,Florida,Miami,Miami-Dade
USA,Texas,Houston,Harris
USA,Texas,Dallas,Dallas
USA,Pennsylvania,Philadelphia,Philadelphia
USA,Georgia,Atlanta,Fulton
USA,District of Columbia,Washington,District of Columbia
USA,Massachusetts,Boston,Suffolk
USA,Arizona,Phoenix,Maricopa
USA,Michigan,Detroit,Wayne
USA,Washington,Seattle,King
USA,California,San Francisco,San Francisco
USA,California,San Diego,San Diego
USA,Minnesota,Minneapolis,Hennepin
USA,Florida,Tampa,Hillsborough
USA,New York,Brooklyn,Kings
USA,Colorado,Denver,Denver
USA,New York,Queens,Queens
USA,California,Riverside,Riverside
USA,Nevada,Las Vegas,Clark
USA,Maryland,Baltimore,Baltimore
USA,Missouri,St. Louis,St. Louis
USA,Oregon,Portland,Multnomah
USA,Texas,San Antonio,Bexar
USA,California,Sacramento,Sacramento
USA,Texas,Austin,Travis
USA,Florida,Orlando,Orange
USA,Puerto Rico,San Juan,San Juan
USA,California,San Jose,Santa Clara
USA,Pennsylvania,Pittsburgh,Allegheny
USA,Indiana,Indianapolis,Marion
USA,New York,Manhattan,New York
USA,Ohio,Cincinnati,Hamilton
USA,Missouri,Kansas City,Jackson
USA,Ohio,Cleveland,Cuyahoga
USA,Ohio,Columbus,Franklin
USA,New York,Bronx,Bronx
USA,Virginia,Virginia Beach,Virginia Beach
USA,North Carolina,Charlotte,Mecklenburg
USA,Wisconsin,Milwaukee,Milwaukee
USA,Rhode Island,Providence,Providence
USA,Florida,Jacksonville,Duval
USA,Tennessee,Nashville,Davidson
USA,Utah,Salt Lake City,Salt Lake
USA,North Carolina,Raleigh,Wake
USA,Virginia,Richmond,Richmond
USA,Tennessee,Memphis,Shelby
USA,Oklahoma,Oklahoma City,Oklahoma
USA,Connecticut,Hartford,Capitol
USA,Kentucky,Louisville,Jefferson
USA,New York,Buffalo,Erie
USA,Louisiana,New Orleans,Orleans
USA,Texas,Fort Worth,Tarrant
USA,Connecticut,Bridgeport,Greater Bridgeport
USA,Arizona,Tucson,Pima
USA,Texas,El Paso,El Paso
USA,Nebraska,Omaha,Douglas
USA,Texas,McAllen,Hidalgo
USA,Alabama,Birmingham,Jefferson
USA,New Mexico,Albuquerque,Bernalillo
USA,Oklahoma,Tulsa,Tulsa
USA,California,Fresno,Fresno
USA,South Carolina,Charleston,Charleston
USA,New York,Rochester,Monroe
USA,Ohio,Dayton,Montgomery
USA,Florida,Cape Coral,Lee
USA,California,Mission Viejo,Orange
USA,Colorado,Colorado Springs,El Paso
USA,Louisiana,Baton Rouge,East Baton Rouge
USA,Pennsylvania,Allentown,Lehigh
USA,Utah,Ogden,Weber
USA,Utah,Provo,Utah
USA,Tennessee,Knoxville,Knox
USA,Michigan,Grand Rapids,Kent
USA,South Carolina,Columbia,Richland
USA,New York,Albany,Albany
USA,California,Bakersfield,Kern
USA,Connecticut,New Haven,South Central Connecticut
USA,Iowa,Des Moines,Polk
USA,Ohio,Akron,Summit
USA,Florida,Palm Bay,Brevard
USA,California,Concord,Contra Costa
USA,Kansas,Wichita,Sedgwick
USA,Arizona,Mesa,Maricopa
USA,Pennsylvania,Harrisburg,Dauphin
USA,New York,Staten Island,Richmond
USA,Ohio,Toledo,Lucas
USA,Massachusetts,Worcester,Worcester
USA,California,Long Beach,Los Angeles
USA,Florida,Port St. Lucie,St. Lucie
USA,Arkansas,Little Rock,Pulaski
USA,Nevada,Reno,Washoe
USA,Washington,Spokane,Spokane
USA,Wisconsin,Madison,Dane
USA,Idaho,Boise,Ada
USA,Florida,Bonita Springs,Lee
USA,Texas,Denton,Denton
USA,California,Oakland,Alameda
USA,Massachusetts,Springfield,Hampden
USA,Georgia,Augusta,Richmond
USA,Florida,Kissimmee,Osceola
USA,North Carolina,Winston-Salem,Forsyth
USA,California,Stockton,San Joaquin
USA,New York,Syracuse,Onondaga
USA,Tennessee,Chattanooga,Hamilton
USA,Pennsylvania,Lancaster,Lancaster
USA,South Carolina,Greenville,Greenville
USA,North Carolina,Durham,Durham
USA,Florida,Pensacola,Escambia
USA,Arkansas,Fayetteville,Washington
USA,Texas,Arlington,Tarrant
USA,Colorado,Aurora,Arapahoe
USA,California,Oxnard,Ventura
USA,California,Indio,Riverside
USA,Pennsylvania,Scranton,Lackawanna
USA,California,Victorville,San Bernardino
USA,New Jersey,Trenton,Mercer
USA,California,Modesto,Stanislaus
USA,Alabama,Huntsville,Madison
USA,Hawaii,Honolulu,Honolulu
USA,North Carolina,Greensboro,Guilford
USA,California,Anaheim,Orange
USA,Texas,Corpus Christi,Nueces
USA,Indiana,Fort Wayne,Allen
USA,Colorado,Fort Collins,Larimer
USA,Mississippi,Jackson,Hinds
USA,South Carolina,Myrtle Beach,Horry
USA,North Carolina,Fayetteville,Cumberland
USA,California,Antioch,Contra Costa
USA,Michigan,Lansing,Ingham
USA,Kentucky,Lexington,Fayette
USA,Alabama,Mobile,Mobile
USA,Ohio,Youngstown,Mahoning
USA,Nevada,Henderson,Clark
USA,Georgia,Savannah,Chatham
USA,New York,Poughkeepsie,Dutchess
USA,California,Santa Ana,Orange
USA,Michigan,Ann Arbor,Washtenaw
USA,Minnesota,St. Paul,Ramsey
USA,New Jersey,Newark,Essex
USA,California,Irvine,Orange
USA,California,Santa Rosa,Sonoma
USA,Ohio,Canton,Stark
USA,North Carolina,Asheville,Buncombe
USA,Michigan,Flint,Genesee
USA,Florida,Winter Haven,Polk
USA,Alaska,Anchorage,Anchorage
USA,Nebraska,Lincoln,Lancaster
USA,North Carolina,Concord,Cabarrus
USA,New Jersey,Jersey City,Hudson
USA,Missouri,Springfield,Greene
USA,Texas,Plano,Collin
USA,Louisiana,Shreveport,Caddo
USA,Iowa,Davenport,Scott
USA,Texas,Lubbock,Lubbock
USA,Florida,Lakeland,Polk
USA,Indiana,South Bend,St. Joseph
USA,California,Chula Vista,San Diego
USA,Arizona,Chandler,Maricopa
USA,Illinois,Rockford,Winnebago
USA,Pennsylvania,Reading,Berks
USA,Oregon,Eugene,Lane
USA,North Carolina,Wilmington,New Hanover
USA,California,Santa Clarita,Los Angeles
USA,Arizona,Gilbert,Maricopa
USA,Oregon,Salem,Marion
USA,Texas,Killeen,Bell
USA,Illinois,Round Lake Beach,Lake
USA,Georgia,Columbus,Muscogee
USA,Nevada,North Las Vegas,Clark
USA,Washington,Kennewick,Benton
USA,Florida,St. Petersburg,Pinellas
USA,Florida,Tallahassee,Leon
USA,Texas,Laredo,Webb
USA,Texas,Irving,Dallas
USA,Illinois,Peoria,Peoria
USA,Alabama,Montgomery,Montgomery
USA,Virginia,Chesapeake,Chesapeake
USA,Arizona,Glendale,Maricopa
USA,Pennsylvania,York,York
USA,New Hampshire,Nashua,Hillsborough
USA,Texas,Garland,Dallas
USA,Arizona,Scottsdale,Maricopa
USA,Louisiana,Lafayette,Lafayette
USA,Virginia,Norfolk,Norfolk
USA,Virginia,Arlington,Arlington
USA,Wisconsin,Appleton,Outagamie
USA,Puerto Rico,Aguadilla,Aguadilla
USA,South Carolina,Rock Hill,York
USA,California,Fremont,Alameda
USA,North Dakota,Fargo,Cass
USA,Mississippi,Gulfport,Harrison
USA,Washington,Bremerton,Kitsap
USA,Wisconsin,Green Bay,Brown
USA,Nevada,Enterprise,Clark
USA,Florida,Hialeah,Miami-Dade
USA,Florida,Deltona,Volusia
USA,California,San Bernardino,San Bernardino
USA,Florida,Gainesville,Alachua
USA,Nevada,Spring Valley,Clark
USA,Washington,Tacoma,Pierce
USA,Virginia,Roanoke,Roanoke
USA,Texas,Brownsville,Cameron
USA,Texas,College Station,Brazos
USA,Washington,Olympia,Thurston
USA,Tennessee,Clarksville,Montgomery
USA,New York,Yonkers,Westchester
USA,California,Moreno Valley,Riverside
USA,California,Thousand Oaks,Ventura
USA,Maine,Portland,Cumberland
USA,California,Fontana,San Bernardino
USA,North Carolina,Hickory,Catawba
USA,Texas,Amarillo,Potter
